_bloom_bits_4
bloom_bits from config:32727
filter policy name:leveldb.DynamicBloomFilter 
Options used in leveldb
compression	max_file_size	write_buffer_size	max_open_files
 NoCompress	          2MB	              4MB	        100000
glsm --- hierarchical bloom filter

                               Compactions
Level  Files Size(MB) Time(sec) Read(MB) Write(MB)
--------------------------------------------------
  0        4       14       759        0     54774
  1        3        6      2108    65430     65083
  2        3        6       245     7787      7781
  3        3        6         2       62        62
  4        3        6         0       12        12
  5        3        6         0        0         0
  6       12       25       132     3591      3587
  7       12       24        17      496       495
  8       12       24         0        0         0
  9       12       25         0        0         0
 10       12       24         0        0         0
 11       12       24         0        0         0
 12       12       25         0        0         0
 13       12       24         0        0         0
 14       11       23         0        0         0
 15       13       26       499    11785     11786
 16      114      224     15044   376421    376133
 17      109      223       518    13398     13391
 18      110      223         0        0         0
 19      111      225         0        0         0
 20      110      223         0        0         0
 21      112      224         0        0         0
 22      110      223         0        0         0
 23      110      224         0        0         0
 24      110      223         0        0         0
 25      112      223       180     4414      4414
 26     1128     2250     12418   304311    304032
 27     1087     2250        48     1190      1189
 28     1087     2250         0        0         0
 29     1087     2249         0        0         0
 30     1091     2248         0        0         0
 31     1085     2249         0        0         0
 32     1083     2249         0        0         0
 33     1084     2249         0        0         0
 34     1085     2248         0        0         0
 35      811     1684         0        0         0
 36     4819    10000      4135   101593    101488
 37     4814     9998         0       15        15
 38     4469     9289         0        0         0

 Compaction Count:867599 TrivialMoveCount:789337 


WRITE latency
-nanusWrite ops:0
READ latency
-nanusRead ops:0
                               Compactions
Level  Files Size(MB) Time(sec) Read(MB) Write(MB)
--------------------------------------------------
  0        4       14       759        0     54774
  1        3        6      2108    65430     65083
  2        3        6       245     7787      7781
  3        3        6         2       62        62
  4        3        6         0       12        12
  5        3        6         0        0         0
  6       12       25       132     3591      3587
  7       12       24        17      496       495
  8       12       24         0        0         0
  9       12       25         0        0         0
 10       12       24         0        0         0
 11       12       24         0        0         0
 12       12       25         0        0         0
 13       12       24         0        0         0
 14       11       23         0        0         0
 15       13       26       499    11785     11786
 16      114      224     15044   376421    376133
 17      109      223       518    13398     13391
 18      110      223         0        0         0
 19      111      225         0        0         0
 20      110      223         0        0         0
 21      112      224         0        0         0
 22      110      223         0        0         0
 23      110      224         0        0         0
 24      110      223         0        0         0
 25      112      223       180     4414      4414
 26     1128     2250     12418   304311    304032
 27     1087     2250        48     1190      1189
 28     1087     2250         0        0         0
 29     1087     2249         0        0         0
 30     1091     2248         0        0         0
 31     1085     2249         0        0         0
 32     1083     2249         0        0         0
 33     1084     2249         0        0         0
 34     1085     2248         0        0         0
 35      811     1684         0        0         0
 36     4819    10000      4135   101593    101488
 37     4814     9998         0       15        15
 38     4469     9289         0        0         0

 Compaction Count:867599 TrivialMoveCount:789337 

                               Compactions
Level  Files Size(MB) Time(sec) Read(MB) Write(MB)
--------------------------------------------------
  0        0        0       759        0     54774
  1        1        2      2109    65446     65099
  2        1        2       245     7791      7785
  3        1        2         2       66        66
  4        1        1         0       12        12
  5        1        2         0        0         0
  6        4        8       132     3591      3587
  7        4        8        17      496       495
  8        5       10         0        0         0
  9        4        8         0        0         0
 10        4        8         0        0         0
 11        4        8         0        0         0
 12        4        8         0        0         0
 13        5        9         0        0         0
 14        4        8         0        0         0
 15        4        8       500    11812     11813
 16       52      100     15093   377479    377190
 17       49       99       520    13454     13447
 18       50      100         0        0         0
 19       49      100         0        0         0
 20       48      100         0        0         0
 21       49      100         0        0         0
 22       48       99         0        0         0
 23       49       98         0        0         0
 24       49      100         0        0         0
 25       50       99       182     4451      4451
 26      483      999     12704   310519    310234
 27      481      998        49     1234      1233
 28      481     1000         0        0         0
 29      481     1000         0        0         0
 30      483      999         0        0         0
 31      484     1000         0        0         0
 32      483      999         0        0         0
 33      482      999         0        0         0
 34      481      999         0        0         0
 35      481      999        18      432       432
 36     4910    10000      6879   165539    165370
 37     4817     9999         1       31        31
 38     4812     9999         0        0         0
 39     4812     9998         0        0         0
 40     1246     2590         0        0         0

 Compaction Count:932686 TrivialMoveCount:847159 

--------------abover are untilCompactionEnds output--------------


---------------------READ STATISTICS-----------------------------------------
type   		count		min		ave		max

